date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:55	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2012:35:10%20GMT	https://www.katarinasstad.se/robots.txt		(from )
14:35:56	20272/20272	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Apr%202021%2012:35:10%20GMT	https://www.katarinasstad.se/	C:/My%20Web%20Sites/Clone/www.katarinasstad.se/index.html	(from )
14:35:56	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2012:35:10%20GMT	https://www.katarinasstad.se/Content/Images/Ico/favicon.ico	C:/My%20Web%20Sites/Clone/www.katarinasstad.se/Content/Images/Ico/favicon.0.delayed	(from https://www.katarinasstad.se/)
14:35:56	672449/672449	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244f077b456f3decb0d1b00769927c002%22	https://use.fontawesome.com/releases/v5.0.6/js/all.js	C:/My%20Web%20Sites/Clone/use.fontawesome.com/releases/v5.0.6/js/all.js	(from https://www.katarinasstad.se/)
14:35:57	343128/343128	---MCZ	200	added ('OK')	text/css	etag:%227e618dd5b3a7d41:0%22	https://www.katarinasstad.se/Content/Styles/application.css?Date=20180327	C:/My%20Web%20Sites/Clone/www.katarinasstad.se/Content/Styles/application4d10.css	(from https://www.katarinasstad.se/)
14:35:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2012:35:11%20GMT	https://www.katarinasstad.se/Content/Scripts/modernizr-flexbox.js	C:/My%20Web%20Sites/Clone/www.katarinasstad.se/Content/Scripts/modernizr-flexbox.3.delayed	(from https://www.katarinasstad.se/)
14:35:57	83095/83095	---M-Z	200	added ('OK')	application/javascript	etag:%2248aefd1b3a7d41:0%22	https://www.katarinasstad.se/Scripts/jquery-2.0.0.min.js	C:/My%20Web%20Sites/Clone/www.katarinasstad.se/Scripts/jquery-2.0.0.min.js	(from https://www.katarinasstad.se/)
14:35:58	39382/39382	---M-Z	200	added ('OK')	application/javascript	etag:%22805e1ed1b3a7d41:0%22	https://www.katarinasstad.se/Scripts/jquery.validate.js	C:/My%20Web%20Sites/Clone/www.katarinasstad.se/Scripts/jquery.validate.js	(from https://www.katarinasstad.se/)
14:35:58	23217/23217	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffc-5ab1%22	https://cdnjs.cloudflare.com/ajax/libs/tether/1.1.1/js/tether.min.js	C:/My%20Web%20Sites/Clone/cdnjs.cloudflare.com/ajax/libs/tether/1.1.1/js/tether.min.js	(from https://www.katarinasstad.se/)
14:35:58	44826/44826	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.2/js/bootstrap.min.js	C:/My%20Web%20Sites/Clone/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.2/js/bootstrap.min.js	(from https://www.katarinasstad.se/)
14:35:59	2773/2773	---M-Z	200	added ('OK')	application/javascript	etag:%22569d60d1b3a7d41:0%22	https://www.katarinasstad.se/Scripts/jquery.unobtrusive-ajax.min.js	C:/My%20Web%20Sites/Clone/www.katarinasstad.se/Scripts/jquery.unobtrusive-ajax.min.js	(from https://www.katarinasstad.se/)
14:35:59	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2022%20Apr%202021%2012:35:14%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/Clone/www.google.com/recaptcha/api.js	(from https://www.katarinasstad.se/)
14:35:59	1409/1409	---M-Z	200	added ('OK')	application/javascript	etag:%22fc637e9b3a7d41:0%22	https://www.katarinasstad.se/Content/Scripts/StartPage/StartPageHandler.js	C:/My%20Web%20Sites/Clone/www.katarinasstad.se/Content/Scripts/StartPage/StartPageHandler.js	(from https://www.katarinasstad.se/)
